code,name,country_code,timezone
GMT,Granite Mountain Air Station,US,America/Nome
GMU,Greenville Downtown Airport,US,America/Kentucky/Monticello
GMV,Monument Valley Airport,US,Pacific/Chuuk
GMZ,La Gomera Airport,ES,Atlantic/Canary
GNA,Hrodna Airport,BY,Europe/Minsk
GNB,Grenoble-Isère Airport,FR,Europe/Paris
GND,Point Salines International Airport,GD,America/Grenada
GNF,Gansner Field,US,America/Boise
GNG,Gooding Municipal Airport,US,America/Boise
GNI,Lyudao Airport,TW,Asia/Taipei
GNM,Guanambi Airport,BR,America/Bahia
GNN,Ghinnir Airport,ET,Africa/Addis_Ababa
GNR,Dr. Arturo H. Illia Airport,AR,America/Argentina/Salta
GNS,Binaka Airport,ID,Asia/Jakarta
GNT,Grants-Milan Municipal Airport,US,America/Shiprock
GNU,Goodnews Airport,US,America/Anchorage
GNV,Gainesville Regional Airport,US,America/New_York
GNY,Şanlıurfa GAP Airport,TR,Asia/Damascus
GNZ,Ghanzi Airport,BW,Africa/Gaborone
GOA,Genoa Cristoforo Colombo Airport,IT,Europe/Rome
GOB,Robe Airport,ET,Africa/Addis_Ababa
GOC,Gora Airstrip,PG,Pacific/Port_Moresby
GOE,Gonaili Airport,PG,Pacific/Port_Moresby
GOG,Gobabis Airport,NA,Africa/Windhoek
GOH,Godthaab / Nuuk Airport,GL,America/Godthab
GOI,Dabolim Airport,IN,Asia/Kolkata
GOJ,Nizhny Novgorod Strigino International Airport,RU,Europe/Moscow
GOK,Guthrie-Edmond Regional Airport,US,America/Matamoros
GOM,Goma International Airport,CD,Africa/Lubumbashi
GON,Groton New London Airport,US,America/New_York
GOO,Goondiwindi Airport,AU,Australia/Brisbane
GOP,Gorakhpur Airport,IN,Asia/Kolkata
GOQ,Golmud Airport,CN,Asia/Urumqi
GOR,Gore Airport,ET,Africa/Addis_Ababa
GOT,Gothenburg-Landvetter Airport,SE,Europe/Stockholm
GOU,Garoua International Airport,CM,Africa/Douala
GOV,Gove Airport,AU,Australia/Darwin
GOZ,Gorna Oryahovitsa Airport,BG,Europe/Sofia
GPA,Patras Araxos Agamemnon Airport,GR,Europe/Athens
GPB,Tancredo Thomas de Faria Airport,BR,America/Sao_Paulo
GPD,Mount Gordon Airport,AU,Australia/Lindeman
GPI,Juan Casiano Airport,CO,America/Bogota
GPL,Guapiles Airport,CR,America/Costa_Rica
GPN,Garden Point Airport,AU,Australia/Darwin
GPO,General Pico Airport,AR,America/Argentina/Salta
GPS,Seymour Airport,EC,Pacific/Galapagos
GPT,Gulfport Biloxi International Airport,US,America/Chicago
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field,US,America/Winnipeg
GQQ,Galion Municipal Airport,US,America/Detroit
GRB,Austin Straubel International Airport,US,America/Chicago
GRD,Greenwood County Airport,US,America/Kentucky/Monticello
GRF,Gray Army Air Field,US,America/Kentucky/Monticello
GRG,Gardez Airport,AF,Asia/Kabul
GRI,Central Nebraska Regional Airport,US,America/Chicago
GRJ,George Airport,ZA,Africa/Johannesburg
GRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field,US,America/Chicago
GRL,Garasa Airport,PG,Pacific/Port_Moresby
GRM,Grand Marais Cook County Airport,US,America/Atikokan
GRN,Gordon Municipal Airport,US,America/North_Dakota/New_Salem
GRO,Girona Airport,ES,Europe/Madrid
GRP,Gurupi Airport,BR,America/Araguaina
GRQ,Eelde Airport,NL,Europe/Amsterdam
GRR,Gerald R. Ford International Airport,US,America/Detroit
GRS,Grosseto Air Base,IT,Europe/Rome
GRT,Gujrat Airport,PK,Asia/Karachi
GRU,Guarulhos - Governador André Franco Montoro International Airport,BR,America/Sao_Paulo
GRV,Grozny North Airport,RU,Europe/Moscow
GRW,Graciosa Airport,PT,Atlantic/Azores
GRX,Federico Garcia Lorca Airport,ES,Europe/Madrid
GRY,Grímsey Airport,IS,Atlantic/Reykjavik
GRZ,Graz Airport,AT,Europe/Vienna
GSA,Long Pasia Airport,MY,Asia/Kuching
GSB,Seymour Johnson Air Force Base,US,America/Kentucky/Monticello
GSC,Gascoyne Junction Airport,AU,Australia/Perth
GSE,Gothenburg City Airport,SE,Europe/Stockholm
GSH,Goshen Municipal Airport,US,America/Indiana/Knox
GSI,Grand-Santi Airport,GF,Pacific/Guadalcanal
GSJ,San José Airport,GT,America/Guatemala
GSM,Qeshm International Airport,IR,Asia/Tehran
GSN,Mount Gunson Airport,AU,Australia/Adelaide
GSO,Piedmont Triad International Airport,US,America/New_York
GSP,Greenville Spartanburg International Airport,US,America/New_York
GSQ,Shark el-Owainat International Airport,EG,Africa/Cairo
GSR,Gardo Airport,SO,Africa/Mogadishu
GSS,Sabi Sabi Airport,ZA,Africa/Johannesburg
GST,Gustavus Airport,US,America/Juneau
GSU,Azaza Airport,SD,Africa/Khartoum
GTA,Gatokae Airport,SB,Pacific/Guadalcanal
GTE,Groote Eylandt Airport,AU,Australia/Darwin
GTF,Great Falls International Airport,US,America/Denver
GTI,Flugplatz Güttin / Rügen,DE,Europe/Berlin
GTK,Sungai Tekai Airport,MY,Asia/Kuala_Lumpur
GTN,Glentanner Airport,NZ,Pacific/Auckland
GTO,Jalaluddin Airport,ID,Asia/Makassar
GTP,Grants Pass Airport,US,America/Vancouver
GTR,Golden Triangle Regional Airport,US,America/Chicago
GTS,The Granites Airport,AU,Australia/Adelaide
GTT,Georgetown Airport,AU,Australia/Brisbane
GTY,Gettysburg Regional Airport,US,America/New_York
GTZ,Kirawira B Aerodrome,TZ,Africa/Nairobi
GUA,La Aurora Airport,GT,America/Guatemala
GUB,Guerrero Negro Airport,MX,America/Santa_Isabel
GUC,Gunnison Crested Butte Regional Airport,US,America/Denver
GUD,Goundam Airport,ML,Africa/Bamako
GUF,Jack Edwards Airport,US,America/Indiana/Vincennes
GUG,Guari Airport,PG,Pacific/Port_Moresby
GUH,Gunnedah Airport,AU,Australia/Sydney
GUI,Guiria Airport,VE,America/Caracas
